date,ad,cci10,aroon10_up,aroon10_down,volume,bbands5_middle_band,macd,stoch_slowd,adx10,close,macd_hist,rsi10,macd_signal,high,bbands5_upper_band,bbands5_lower_band,sma10,open,low,stoch_slowk,obv,ema10
2019-06-26,-3063239737.7308,-17.9706,80.0000,0.0000,23657700,135.8120,2.8270,62.9246,29.0490,133.9300,0.3297,57.3566,2.4973,135.7327,141.1322,130.4918,134.8690,134.3500,133.6000,40.2244,-1983044900.0000,134.6461
2019-06-27,-3062135904.3975,-44.7436,70.0000,0.0000,16557500,135.2520,2.6175,40.4579,26.9106,134.1500,0.0961,56.3773,2.5214,134.7100,140.5551,129.9489,135.0850,134.1400,133.5100,19.5179,-1966487400.0000,134.5541
2019-06-28,-3058723818.5249,-67.2859,60.0000,0.0000,30043000,134.6500,2.4578,27.4587,24.6393,133.9600,-0.0508,58.0085,2.5087,134.6000,139.3991,129.9009,135.3160,134.5700,133.1560,22.6337,-1996530400.0000,134.5570
2019-07-01,-3062783241.6463,21.5161,50.0000,0.0000,22654200,134.2300,2.4691,25.9880,24.2722,135.6800,-0.0317,64.9792,2.5008,136.7000,136.5194,131.9406,135.7160,136.6300,134.9700,35.8123,-1973876200.0000,134.9339
2019-07-02,-3047787135.5139,35.1924,40.0000,50.0000,15237800,134.8600,2.4090,39.3716,23.9418,136.5800,-0.0734,62.1416,2.4824,136.5900,138.0938,131.6262,135.9090,136.1200,135.3291,59.6689,-1958638400.0000,135.1495
2019-07-03,-3039439778.7665,76.8512,30.0000,40.0000,13629300,135.5660,2.3888,59.7388,24.4808,137.4600,-0.0749,64.4421,2.4637,137.7400,139.6382,131.4938,136.0890,136.8000,136.2950,83.7351,-1945009100.0000,135.4496
2019-07-05,-3027383271.3131,52.0666,20.0000,30.0000,18141100,136.1480,2.2771,78.4315,24.2477,137.0600,-0.1493,59.3723,2.4264,137.3300,139.8820,132.4140,135.9380,135.9400,135.7200,91.8905,-1963150200.0000,135.5388
2019-07-08,-3013319360.9084,44.4099,10.0000,20.0000,16779700,136.7480,2.2003,86.4195,23.5959,136.9600,-0.1808,61.1870,2.3812,137.1000,138.5570,134.9390,135.9200,136.4000,135.3700,83.6329,-1979929900.0000,135.6954
2019-07-09,-3010761271.1648,52.9722,0.0000,10.0000,19953100,136.9040,2.0832,81.1651,23.0092,136.4600,-0.2384,58.6557,2.3216,136.9700,137.9762,135.8318,135.8200,136.0000,135.8000,67.9717,-1999883000.0000,135.7508
2019-07-10,-3009209707.0623,119.4774,100.0000,0.0000,24204400,137.1580,2.0579,72.3135,23.8839,137.8500,-0.2110,63.4075,2.2688,138.5800,138.5690,135.7470,135.8080,137.1300,137.0200,65.3360,-1975678600.0000,136.0015
2019-07-11,-3014006070.7660,139.4316,100.0000,20.0000,22327900,137.3460,2.0999,66.9768,25.1491,138.4000,-0.1352,67.3551,2.2350,139.2200,139.4161,135.2759,136.1930,138.2000,137.8700,67.6227,-1953350700.0000,136.4012
2019-07-12,-3002846885.0517,125.0517,90.0000,10.0000,18936800,137.7140,2.1607,71.8360,26.2878,138.9000,-0.0594,69.5708,2.2202,139.1300,140.4096,135.0184,136.6640,138.8500,138.0100,82.5494,-1934413900.0000,136.8465
2019-07-15,-3005930496.1628,115.7986,100.0000,0.0000,16651500,138.1020,2.2309,78.1993,27.6457,138.9000,0.0085,71.5203,2.2223,139.5400,140.8259,135.3781,137.1510,139.4400,138.4600,84.4258,-1934413900.0000,137.3180
2019-07-16,-3018596030.1549,8.2950,90.0000,0.0000,22726100,138.2260,2.2221,77.1161,25.8431,137.0800,-0.0002,67.6050,2.2223,139.0500,140.3017,136.1503,137.3840,138.9600,136.5200,64.3730,-1957140000.0000,137.6166
2019-07-17,-3037625100.3303,-58.7545,80.0000,0.0000,20211000,137.9100,2.0894,61.0370,23.8280,136.2700,-0.1063,58.2968,2.1957,137.9300,141.0789,134.7411,137.5420,137.7000,136.2200,34.3123,-1977351000.0000,137.6317
